DH_demand,LH_demand
0.399242234,0.399500476
0.403552395,0.403813425
0.407862555,0.408126373
0.43440523,0.434686217
0.452054899,0.452347302
0.478597574,0.478907145
0.500693745,0.501017609
0.553915437,0.554273727
0.629369643,0.629776739
0.682591335,0.683032856
0.629096958,0.629503877
0.580049085,0.580424278
0.499875691,0.500199026
0.477506835,0.477815701
0.450691476,0.450982997
0.432769122,0.43304905
0.423739774,0.424013862
0.432496437,0.432776189
0.459039112,0.459336032
0.450009764,0.450300844
0.476552438,0.476860687
0.463076588,0.46337612
0.449600737,0.449891552
0.404999366,0.405261332
0.409309527,0.40957428
0.413619687,0.413887229
0.417929848,0.418200177
0.444472522,0.444760021
0.457675688,0.457971727
0.484218363,0.48453157
0.510761038,0.511091414
0.563982729,0.564347531
0.643883438,0.644299922
0.692658627,0.69310666
0.643610753,0.644027061
0.590116377,0.590498082
0.509942984,0.51027283
0.483127624,0.483440126
0.456312265,0.456607422
0.442836414,0.443122854
0.429360563,0.429638287
0.442563729,0.442849993
0.469106404,0.469409836
0.455630553,0.455925269
0.482173228,0.482485112
0.47314388,0.473449924
0.455221526,0.455515977
0.415066658,0.415335136
0.481627859,0.48193939
0.485938019,0.486252339
0.494694682,0.495014666
0.521237357,0.521574509
0.538887026,0.539235595
0.569876204,0.570244817
0.600865381,0.601254039
0.658533576,0.658959535
0.74732729,0.747810684
0.804995484,0.80551618
0.747054605,0.747537823
0.689113726,0.689559466
0.600047327,0.600435456
0.568785465,0.569153373
0.537523603,0.537871289
0.519601249,0.519937343
0.510571901,0.510902154
0.519328564,0.519664482
0.550317742,0.550673704
0.536841891,0.537189137
0.567831068,0.568198359
0.554355218,0.554713791
0.536432864,0.536779845
0.491831493,0.492149625
0.331621049,0.331835551
0.335931209,0.3361485
0.34024137,0.340461448
0.362337542,0.362571913
0.375540708,0.375783619
0.402083382,0.402343462
0.424179554,0.424453927
0.46850824,0.468811286
0.539515943,0.539864919
0.588291132,0.588671657
0.539243259,0.539592058
0.494641888,0.494961837
0.4233615,0.423635343
0.400992644,0.401252018
0.374177284,0.374419314
0.360701433,0.360934746
0.351672085,0.351899558
0.360428749,0.360661885
0.382524921,0.382772349
0.373495573,0.373737161
0.400038247,0.400297004
0.386562396,0.386812437
0.373086546,0.373327869
0.337378181,0.337596407
0.341688341,0.341909355
0.345998502,0.346222304
0.350308662,0.350535252
0.372404834,0.372645717
0.390054503,0.390306802
0.412150675,0.412417266
0.434246847,0.434527731
0.483022035,0.483334469
0.554029738,0.554388102
0.602804927,0.60319484
0.553757054,0.554115241
0.50470918,0.505035642
0.433428792,0.433709147
0.411059936,0.411325822
0.388691079,0.388942497
0.370768726,0.37100855
0.361739378,0.361973362
0.370496041,0.370735689
0.397038716,0.397295533
0.388009368,0.388260344
0.41010554,0.410370808
0.401076192,0.40133562
0.387600341,0.387851052
0.347445473,0.347670211
0.360648639,0.360881918
0.364958799,0.365194866
0.373715463,0.373957193
0.395811635,0.396067658
0.413461304,0.413728743
0.435557475,0.435839207
0.46210015,0.462399051
0.510875339,0.511205789
0.586329545,0.586708801
0.635104734,0.635515539
0.58605686,0.58643594
0.532562484,0.532906962
0.461282096,0.461580467
0.434466737,0.434747763
0.41209788,0.412364438
0.394175527,0.394430491
0.385146179,0.385395303
0.393902842,0.39415763
